id,text,language,source
1,Al'ummar yana gina sabon aiki.,Hausa,AI-generated synthetic data
2,Onye nkụzi ahụ nwere akwụkwọ n'isi ụtụtụ.,Igbo,AI-generated synthetic data
3,A researcher is studying the delivery schedule.,English,AI-generated synthetic data
4,Anyị wetara ọka n'oge.,Igbo,AI-generated synthetic data
5,Ọ̀rẹ́ mi ń rìn ní ọ́fíìsì àná.,Yoruba,AI-generated synthetic data
6,"Jiya, suna jiran motar bas.",Hausa,AI-generated synthetic data
7,"A gida, yanayin yau yana da dadi.",Hausa,AI-generated synthetic data
8,The engineer is learning the school timetable.,English,AI-generated synthetic data
9,Tawagar mu yana shirya rahoton.,Hausa,AI-generated synthetic data
10,Our community is repairing the report.,English,AI-generated synthetic data
11,Ọ̀rẹ́ mi ṣe tábìlì àná.,Yoruba,AI-generated synthetic data
12,Àwọn ọmọ ra ọ̀gẹ̀dẹ̀ ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
13,Al'ummar yana bitar samfurin koyon na'ura.,Hausa,AI-generated synthetic data
14,"In the evening, we should leave early to avoid traffic.",English,AI-generated synthetic data
15,Arábìnrin mi wà ní àgbègbè wa lónìí.,Yoruba,AI-generated synthetic data
16,Nne hụrụ oche n'ụtụtụ.,Igbo,AI-generated synthetic data
17,"Jiya, ina son kara koyon bayani game da wannan kwas.",Hausa,AI-generated synthetic data
18,The farmer is discussing the meeting notes.,English,AI-generated synthetic data
19,Dan uwana yana shirya kwamfutar.,Hausa,AI-generated synthetic data
20,"Jiya, ruwan sama ya fara bayan mun tafi.",Hausa,AI-generated synthetic data
21,Injiniyan yana shirya sabon aiki.,Hausa,AI-generated synthetic data
22,Manomin yana karatu bayanan mara lafiya.,Hausa,AI-generated synthetic data
23,Nwanne nwanyị m nwere anụ n'ụtụtụ.,Igbo,AI-generated synthetic data
24,My friend is organizing the machine learning model.,English,AI-generated synthetic data
25,Àwọn ará wa ń ṣiṣẹ́ ní òpópónà àná.,Yoruba,AI-generated synthetic data
26,"At work, the driver waited for passengers near the bus station.",English,AI-generated synthetic data
27,Ha hụrụ agwa n'isi ụtụtụ.,Igbo,AI-generated synthetic data
28,Arákùnrin mi fẹ́ ẹran àná.,Yoruba,AI-generated synthetic data
29,Onye nkụzi ahụ na-aga n'ụlọ ahịa n'izu a.,Igbo,AI-generated synthetic data
30,Dan uwana yana koyon manhajar waya.,Hausa,AI-generated synthetic data
31,Mama lo kọ̀ǹpútà ní alẹ́.,Yoruba,AI-generated synthetic data
32,Likitan yana shirya jerin kaya.,Hausa,AI-generated synthetic data
33,Aládùúgbò wa fẹ́ ẹ̀fọ́ ní alẹ́.,Yoruba,AI-generated synthetic data
34,Àwọn ará wa rí kọ́kọ́rọ́ ní kutukutu.,Yoruba,AI-generated synthetic data
35,Nwa akwụkwọ ahụ jiri igwefoto taa.,Igbo,AI-generated synthetic data
36,A teacher is planning the inventory list.,English,AI-generated synthetic data
37,Tawagar mu yana gyara bayanan mara lafiya.,Hausa,AI-generated synthetic data
38,"Yau, me ya jawo jinkirin?",Hausa,AI-generated synthetic data
39,Àwọn ará wa wà ní ibùdó ọkọ̀ àná.,Yoruba,AI-generated synthetic data
40,Nwanne nwoke m nwere akwụkwọ n'oge.,Igbo,AI-generated synthetic data
41,Ọ̀rẹ́ mi dé sí òpópónà ní alẹ́.,Yoruba,AI-generated synthetic data
42,Al'ummar yana tattauna samfurin koyon na'ura.,Hausa,AI-generated synthetic data
43,Ṣé o ti jẹun?,Yoruba,AI-generated synthetic data
44,Manomin yana koyon shirin kasuwanci.,Hausa,AI-generated synthetic data
45,Obìnrin náà ń rìn ní ilé ìwòsàn ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
46,Ọ wetara igodo na ngwụcha izu.,Igbo,AI-generated synthetic data
47,A teacher is reviewing the farm equipment.,English,AI-generated synthetic data
48,Malamin yana duba kayan horo.,Hausa,AI-generated synthetic data
49,The developer is repairing a research proposal.,English,AI-generated synthetic data
50,Ẹyin ṣe bàtà ní òwúrọ̀.,Yoruba,AI-generated synthetic data
51,Allon bayanai yana nuna sabbin alkaluman kaya.,Hausa,AI-generated synthetic data
52,Ọ̀rẹ́ mi ra bàtà ọ̀la.,Yoruba,AI-generated synthetic data
53,"A wurin aiki, ina ka ajiye takardar?",Hausa,AI-generated synthetic data
54,"During the meeting, the weather is pleasant today.",English,AI-generated synthetic data
55,The student borrowed a book from the library.,English,AI-generated synthetic data
56,"Yau, malami ya bayyana darasin da misali na aikace-aikace.",Hausa,AI-generated synthetic data
57,Nwanyị ahụ na-aga n'ogige na ngwụcha izu.,Igbo,AI-generated synthetic data
58,The manager is preparing the network connection.,English,AI-generated synthetic data
59,Enyi m nwere osikapa ụnyaahụ.,Igbo,AI-generated synthetic data
60,Baba rí fóònù ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
61,Unu na-arụ ọrụ n'ụlọ ekpere n'izu a.,Igbo,AI-generated synthetic data
62,Dan uwana yana gyara takardar bincike.,Hausa,AI-generated synthetic data
63,Ị bịara n'ụlọ ekpere n'isi ụtụtụ.,Igbo,AI-generated synthetic data
64,Ọ na-arụ ọrụ n'ogige taa.,Igbo,AI-generated synthetic data
65,Onye nkụzi ahụ na-arụ ọrụ n'ogige n'oge.,Igbo,AI-generated synthetic data
66,Likitan yana gina takardar bincike.,Hausa,AI-generated synthetic data
67,M bịara n'chọọchị ụnyaahụ.,Igbo,AI-generated synthetic data
68,Dalibin yana karatu kwamfutar.,Hausa,AI-generated synthetic data
69,Abokina yana tattauna jadawalin makaranta.,Hausa,AI-generated synthetic data
70,The student is learning the delivery schedule.,English,AI-generated synthetic data
71,The developer is reviewing the training materials.,English,AI-generated synthetic data
72,Ha na-aga n'ụlọ ekpere n'abalị.,Igbo,AI-generated synthetic data
73,Arákùnrin mi ní ẹran ọ̀la.,Yoruba,AI-generated synthetic data
74,The doctor is repairing the delivery schedule.,English,AI-generated synthetic data
75,The student is learning the inventory list.,English,AI-generated synthetic data
76,Dókítà náà ń kọ́ ẹ̀kọ́ ní ilé ìwé ní òru.,Yoruba,AI-generated synthetic data
77,O mú ẹja ọ̀la.,Yoruba,AI-generated synthetic data
78,Tawagar mu yana gyara takardar bincike.,Hausa,AI-generated synthetic data
79,The manager is checking the delivery schedule.,English,AI-generated synthetic data
80,Tawagar mu yana gyara rahoton.,Hausa,AI-generated synthetic data
81,Aládùúgbò wa ṣe aṣọ àná.,Yoruba,AI-generated synthetic data
82,A teacher is studying the school timetable.,English,AI-generated synthetic data
83,The driver is discussing the school timetable.,English,AI-generated synthetic data
84,"Da yamma, yaushe za a fara taron?",Hausa,AI-generated synthetic data
85,Obìnrin náà rí tábìlì ọ̀la.,Yoruba,AI-generated synthetic data
86,Malamin yana koyon jadawalin isar da kaya.,Hausa,AI-generated synthetic data
87,Obìnrin náà ń ṣiṣẹ́ ní ilé ọ̀la.,Yoruba,AI-generated synthetic data
88,"In the afternoon, the algorithm performed better after the data was cleaned.",English,AI-generated synthetic data
89,Obìnrin náà dé sí ọgbà ẹ̀kọ́ àná.,Yoruba,AI-generated synthetic data
90,Wọ́n lo ẹ̀wà ní òru.,Yoruba,AI-generated synthetic data
91,"Gobe, me ya sa intanet din yake tafiya a hankali?",Hausa,AI-generated synthetic data
92,Ha bịara n'chọọchị taa.,Igbo,AI-generated synthetic data
93,Olùkọ́ náà ń ṣiṣẹ́ ní ọgbà ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
94,"Today, i have not received the message yet.",English,AI-generated synthetic data
95,"Yau, yaran suna wasa a wajen gida.",Hausa,AI-generated synthetic data
96,Abokina yana bitar jerin kaya.,Hausa,AI-generated synthetic data
97,The driver is building the network connection.,English,AI-generated synthetic data
98,Ọ na-amụ ihe n'ụlọ enyi m echi.,Igbo,AI-generated synthetic data
99,Our team is checking the inventory list.,English,AI-generated synthetic data
100,The engineer is organizing the patient record.,English,AI-generated synthetic data
101,Tawagar mu yana shirya manhajar waya.,Hausa,AI-generated synthetic data
102,Nwanne nwanyị m nọ n'ụlọ ekpere n'isi ụtụtụ.,Igbo,AI-generated synthetic data
103,Ọkùnrin náà ń ṣiṣẹ́ ní ilé ẹ̀kọ́ ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
104,Mai shirye-shiryen yana koyon manhajar waya.,Hausa,AI-generated synthetic data
105,Ọkùnrin náà ń kọ́ ẹ̀kọ́ ní ọ́fíìsì ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
106,The student is studying the report.,English,AI-generated synthetic data
107,A teacher is reviewing the network connection.,English,AI-generated synthetic data
108,The engineer is discussing the patient record.,English,AI-generated synthetic data
109,Ó fẹ́ àga ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
110,Olùkọ́ náà fẹ́ ìwé ní kutukutu.,Yoruba,AI-generated synthetic data
111,Nwa ahụ na-eje ije n'ụlọ ekpere echi.,Igbo,AI-generated synthetic data
112,"At work, the children are playing outside the house.",English,AI-generated synthetic data
113,Dọkịta ahụ mere ji n'oge.,Igbo,AI-generated synthetic data
114,Direban yana koyon bayanan taro.,Hausa,AI-generated synthetic data
115,Manajan yana shirya kayan aikin gona.,Hausa,AI-generated synthetic data
116,Ọ̀rẹ́ mi fẹ́ ìrẹsì ní ọ̀sán.,Yoruba,AI-generated synthetic data
117,Dalibin yana tattauna jadawalin isar da kaya.,Hausa,AI-generated synthetic data
118,"Yesterday, i am going to the market this morning.",English,AI-generated synthetic data
119,My brother is planning the network connection.,English,AI-generated synthetic data
120,Ọmọ náà ń ṣiṣẹ́ ní pápá ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
121,A teacher is checking a research proposal.,English,AI-generated synthetic data
122,Nwanne nwanyị m nọ n'ogige taa.,Igbo,AI-generated synthetic data
123,Likitan yana gyara manhajar waya.,Hausa,AI-generated synthetic data
124,Àwọn ará wa dé sí mọ́sáláṣí ní ọ̀sán.,Yoruba,AI-generated synthetic data
125,Onye nkụzi ahụ chọrọ akpụkpọ ụkwụ n'oge.,Igbo,AI-generated synthetic data
126,Ó ṣe ẹja ọ̀la.,Yoruba,AI-generated synthetic data
127,Dalibin yana gina bayanan taro.,Hausa,AI-generated synthetic data
128,Mo ṣe ẹja ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
129,The developer is learning the training materials.,English,AI-generated synthetic data
130,The developer is repairing the farm equipment.,English,AI-generated synthetic data
131,Nwoke ahụ chọrọ akpa n'izu a.,Igbo,AI-generated synthetic data
132,O ra àga ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
133,Dókítà náà lo kámẹ́rà lónìí.,Yoruba,AI-generated synthetic data
134,Nwoke ahụ na-amụ ihe n'ogige ụnyaahụ.,Igbo,AI-generated synthetic data
135,Malamin yana duba rahoton.,Hausa,AI-generated synthetic data
136,M zụtara ọka na ngwụcha izu.,Igbo,AI-generated synthetic data
137,M hụrụ igodo na ngwụcha izu.,Igbo,AI-generated synthetic data
138,Anyị zụtara ekwentị n'isi ụtụtụ.,Igbo,AI-generated synthetic data
139,"In the afternoon, the engineer inspected the equipment before starting work.",English,AI-generated synthetic data
140,Malamin yana gyara jadawalin makaranta.,Hausa,AI-generated synthetic data
141,Ó wà ní àgbègbè wa ní òwúrọ̀.,Yoruba,AI-generated synthetic data
142,The farmer is organizing the meeting notes.,English,AI-generated synthetic data
143,"A wurin aiki, za mu iya duba rahoton yau?",Hausa,AI-generated synthetic data
144,The nurse is building the meeting notes.,English,AI-generated synthetic data
145,Our community is checking the report.,English,AI-generated synthetic data
146,Mai binciken yana duba jerin kaya.,Hausa,AI-generated synthetic data
147,Dókítà náà ń kọ́ ẹ̀kọ́ ní òpópónà ní òwúrọ̀.,Yoruba,AI-generated synthetic data
148,The engineer is reviewing a new project.,English,AI-generated synthetic data
149,Àwọn ará wa ń kọ́ ẹ̀kọ́ ní ọgbà ẹ̀kọ́ àná.,Yoruba,AI-generated synthetic data
150,Ọ̀rẹ́ mi ń kọ́ ẹ̀kọ́ ní ilé ìwòsàn ní kutukutu.,Yoruba,AI-generated synthetic data
151,"In the afternoon, please keep the equipment in a safe place.",English,AI-generated synthetic data
152,Nwanne nwoke m wetara ji n'ụtụtụ.,Igbo,AI-generated synthetic data
153,Mai bincike ya kwatanta samfurin koyon na'ura daban-daban.,Hausa,AI-generated synthetic data
154,Mo wà ní ilé ìwé ní kutukutu.,Yoruba,AI-generated synthetic data
155,Unu nọ n'chọọchị n'ehihie.,Igbo,AI-generated synthetic data
156,Ha na-eje ije n'ụlọ ọgwụ n'isi ụtụtụ.,Igbo,AI-generated synthetic data
157,Tawagar mu yana gyara jerin kaya.,Hausa,AI-generated synthetic data
158,Ụmụaka ahụ jiri nri n'isi ụtụtụ.,Igbo,AI-generated synthetic data
159,Onye nkụzi ahụ chọrọ azụ n'ehihie.,Igbo,AI-generated synthetic data
160,Akẹ́kọ̀ọ́ náà lo kámẹ́rà ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
161,Ị jiri osikapa n'abalị.,Igbo,AI-generated synthetic data
162,Ẹyin lo àgbàdo ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
163,Nwanyị ahụ nọ n'ụlọ na ngwụcha izu.,Igbo,AI-generated synthetic data
164,Ó ń ṣiṣẹ́ ní ilé ìtajà ní òwúrọ̀.,Yoruba,AI-generated synthetic data
165,The developer is discussing the delivery schedule.,English,AI-generated synthetic data
166,Mama mú kọ̀ǹpútà ní òwúrọ̀.,Yoruba,AI-generated synthetic data
167,Ma'aikaciyar jinya yana bitar rahoton.,Hausa,AI-generated synthetic data
168,Akẹ́kọ̀ọ́ náà lo ẹran ní òwúrọ̀.,Yoruba,AI-generated synthetic data
169,The driver is preparing the inventory list.,English,AI-generated synthetic data
170,"Today, the nurse checked the patient's temperature carefully.",English,AI-generated synthetic data
171,My brother is organizing a research proposal.,English,AI-generated synthetic data
172,Our community is building the delivery schedule.,English,AI-generated synthetic data
173,Wọ́n lo àga ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
174,The nurse is discussing a mobile application.,English,AI-generated synthetic data
175,Ọmọ náà rí ẹran ní òru.,Yoruba,AI-generated synthetic data
176,"Da yamma, fasinjoji sun jira cikin hakuri a tashar mota.",Hausa,AI-generated synthetic data
177,Onye agbata obi anyị na-amụ ihe n'ụlọ ọgwụ na ngwụcha izu.,Igbo,AI-generated synthetic data
178,An matsar da taron zuwa ranar Juma'a.,Hausa,AI-generated synthetic data
179,Ị mere igodo n'abalị.,Igbo,AI-generated synthetic data
